"","gutenberg_id","text","title","author","gutenberg_bookshelf","language"
"1",9862,"CITY OF ENDLESS NIGHT","City of Endless Night","Hastings, Milo","Science Fiction","en"
"2",9862,"","City of Endless Night","Hastings, Milo","Science Fiction","en"
"3",9862,"By Milo Hastings","City of Endless Night","Hastings, Milo","Science Fiction","en"
"4",9862,"","City of Endless Night","Hastings, Milo","Science Fiction","en"
"5",9862,"1920","City of Endless Night","Hastings, Milo","Science Fiction","en"
"6",9862,"","City of Endless Night","Hastings, Milo","Science Fiction","en"
"7",9862,"","City of Endless Night","Hastings, Milo","Science Fiction","en"
"8",9862,"","City of Endless Night","Hastings, Milo","Science Fiction","en"
"9",9862,"","City of Endless Night","Hastings, Milo","Science Fiction","en"
"10",9862,"","City of Endless Night","Hastings, Milo","Science Fiction","en"
"11",9862,"","City of Endless Night","Hastings, Milo","Science Fiction","en"
"12",9862,"","City of Endless Night","Hastings, Milo","Science Fiction","en"
"13",9862,"CONTENTS","City of Endless Night","Hastings, Milo","Science Fiction","en"
"14",9862,"","City of Endless Night","Hastings, Milo","Science Fiction","en"
"15",9862,"","City of Endless Night","Hastings, Milo","Science Fiction","en"
"16",9862,"CHAPTER","City of Endless Night","Hastings, Milo","Science Fiction","en"
"17",9862,"","City of Endless Night","Hastings, Milo","Science Fiction","en"
"18",9862,"   I.  THE RED AND BLACK AND GOLD STRUGGLE FOR SUPREMACY ON THE CHANGING","City of Endless Night","Hastings, Milo","Science Fiction","en"
"19",9862,"       MAP OF THE WORLD","City of Endless Night","Hastings, Milo","Science Fiction","en"
"20",9862,"","City of Endless Night","Hastings, Milo","Science Fiction","en"
"21",9862,"  II.  I EXPLORE THE POTASH MINES OF STASSFURT AND FIND A DIARY IN A DEAD","City of Endless Night","Hastings, Milo","Science Fiction","en"
"22",9862,"       MAN'S POCKET","City of Endless Night","Hastings, Milo","Science Fiction","en"
"23",9862,"","City of Endless Night","Hastings, Milo","Science Fiction","en"
"24",9862," III.  IN A BLACK UTOPIA THE BLOND BROOD BREEDS AND SWARMS","City of Endless Night","Hastings, Milo","Science Fiction","en"
"25",9862,"","City of Endless Night","Hastings, Milo","Science Fiction","en"
"26",9862,"  IV.  I GO PLEASURING ON THE LEVEL OF FREE WOMEN AND DRINK SYNTHETIC BEER","City of Endless Night","Hastings, Milo","Science Fiction","en"
"27",9862,"","City of Endless Night","Hastings, Milo","Science Fiction","en"
"28",9862,"   V.  I AM DRAFTED FOR PATERNITY AND MAKE EXTRAORDINARY PETITION TO THE","City of Endless Night","Hastings, Milo","Science Fiction","en"
"29",9862,"       CHIEF OF THE EUGENIC STAFF","City of Endless Night","Hastings, Milo","Science Fiction","en"
