"","gutenberg_id","text","title","author","gutenberg_bookshelf","language"
"1",775,"WHEN THE SLEEPER WAKES","When the Sleeper Wakes","Wells, H. G. (Herbert George)","Science Fiction","en"
"2",775,"","When the Sleeper Wakes","Wells, H. G. (Herbert George)","Science Fiction","en"
"3",775,"By Herbert George Wells","When the Sleeper Wakes","Wells, H. G. (Herbert George)","Science Fiction","en"
"4",775,"","When the Sleeper Wakes","Wells, H. G. (Herbert George)","Science Fiction","en"
"5",775,"","When the Sleeper Wakes","Wells, H. G. (Herbert George)","Science Fiction","en"
"6",775,"","When the Sleeper Wakes","Wells, H. G. (Herbert George)","Science Fiction","en"
"7",775,"","When the Sleeper Wakes","Wells, H. G. (Herbert George)","Science Fiction","en"
"8",775,"CHAPTER I. INSOMNIA","When the Sleeper Wakes","Wells, H. G. (Herbert George)","Science Fiction","en"
"9",775,"","When the Sleeper Wakes","Wells, H. G. (Herbert George)","Science Fiction","en"
"10",775,"One afternoon, at low water, Mr. Isbister, a young artist lodging at","When the Sleeper Wakes","Wells, H. G. (Herbert George)","Science Fiction","en"
"11",775,"Boscastle, walked from that place to the picturesque cove of Pentargen,","When the Sleeper Wakes","Wells, H. G. (Herbert George)","Science Fiction","en"
"12",775,"desiring to examine the caves there. Halfway down the precipitous","When the Sleeper Wakes","Wells, H. G. (Herbert George)","Science Fiction","en"
"13",775,"path to the Pentargen beach he came suddenly upon a man sitting in an","When the Sleeper Wakes","Wells, H. G. (Herbert George)","Science Fiction","en"
"14",775,"attitude of profound distress beneath a projecting mass of rock. The","When the Sleeper Wakes","Wells, H. G. (Herbert George)","Science Fiction","en"
"15",775,"hands of this man hung limply over his knees, his eyes were red and","When the Sleeper Wakes","Wells, H. G. (Herbert George)","Science Fiction","en"
"16",775,"staring before him, and his face was wet with tears.","When the Sleeper Wakes","Wells, H. G. (Herbert George)","Science Fiction","en"
"17",775,"","When the Sleeper Wakes","Wells, H. G. (Herbert George)","Science Fiction","en"
"18",775,"He glanced round at Isbister's footfall. Both men were disconcerted,","When the Sleeper Wakes","Wells, H. G. (Herbert George)","Science Fiction","en"
"19",775,"Isbister the more so, and, to override the awkwardness of his","When the Sleeper Wakes","Wells, H. G. (Herbert George)","Science Fiction","en"
"20",775,"involuntary pause, he remarked, with an air of mature conviction, that","When the Sleeper Wakes","Wells, H. G. (Herbert George)","Science Fiction","en"
"21",775,"the weather was hot for the time of year.","When the Sleeper Wakes","Wells, H. G. (Herbert George)","Science Fiction","en"
"22",775,"","When the Sleeper Wakes","Wells, H. G. (Herbert George)","Science Fiction","en"
