"","gutenberg_id","text","title","author","gutenberg_bookshelf","language"
"1",553,"Out of Time's Abyss","Out of Time's Abyss","Burroughs, Edgar Rice","Science Fiction","en"
"2",553,"","Out of Time's Abyss","Burroughs, Edgar Rice","Science Fiction","en"
"3",553,"","Out of Time's Abyss","Burroughs, Edgar Rice","Science Fiction","en"
"4",553,"By","Out of Time's Abyss","Burroughs, Edgar Rice","Science Fiction","en"
"5",553,"","Out of Time's Abyss","Burroughs, Edgar Rice","Science Fiction","en"
"6",553,"Edgar Rice Burroughs","Out of Time's Abyss","Burroughs, Edgar Rice","Science Fiction","en"
"7",553,"","Out of Time's Abyss","Burroughs, Edgar Rice","Science Fiction","en"
"8",553,"","Out of Time's Abyss","Burroughs, Edgar Rice","Science Fiction","en"
"9",553,"","Out of Time's Abyss","Burroughs, Edgar Rice","Science Fiction","en"
"10",553,"","Out of Time's Abyss","Burroughs, Edgar Rice","Science Fiction","en"
"11",553,"Chapter I","Out of Time's Abyss","Burroughs, Edgar Rice","Science Fiction","en"
"12",553,"","Out of Time's Abyss","Burroughs, Edgar Rice","Science Fiction","en"
"13",553,"This is the tale of Bradley after he left Fort Dinosaur upon the west","Out of Time's Abyss","Burroughs, Edgar Rice","Science Fiction","en"
"14",553,"coast of the great lake that is in the center of the island.","Out of Time's Abyss","Burroughs, Edgar Rice","Science Fiction","en"
"15",553,"","Out of Time's Abyss","Burroughs, Edgar Rice","Science Fiction","en"
"16",553,"Upon the fourth day of September, 1916, he set out with four","Out of Time's Abyss","Burroughs, Edgar Rice","Science Fiction","en"
"17",553,"companions, Sinclair, Brady, James, and Tippet, to search along the","Out of Time's Abyss","Burroughs, Edgar Rice","Science Fiction","en"
"18",553,"base of the barrier cliffs for a point at which they might be scaled.","Out of Time's Abyss","Burroughs, Edgar Rice","Science Fiction","en"
"19",553,"","Out of Time's Abyss","Burroughs, Edgar Rice","Science Fiction","en"
"20",553,"Through the heavy Caspakian air, beneath the swollen sun, the five men","Out of Time's Abyss","Burroughs, Edgar Rice","Science Fiction","en"
"21",553,"marched northwest from Fort Dinosaur, now waist-deep in lush, jungle","Out of Time's Abyss","Burroughs, Edgar Rice","Science Fiction","en"
"22",553,"grasses starred with myriad gorgeous blooms, now across open","Out of Time's Abyss","Burroughs, Edgar Rice","Science Fiction","en"
"23",553,"meadow-land and parklike expanses and again plunging into dense forests","Out of Time's Abyss","Burroughs, Edgar Rice","Science Fiction","en"
"24",553,"of eucalyptus and acacia and giant arboreous ferns with feathered","Out of Time's Abyss","Burroughs, Edgar Rice","Science Fiction","en"
"25",553,"fronds waving gently a hundred feet above their heads.","Out of Time's Abyss","Burroughs, Edgar Rice","Science Fiction","en"
"26",553,"","Out of Time's Abyss","Burroughs, Edgar Rice","Science Fiction","en"
"27",553,"About them upon the ground, among the trees and in the air over them","Out of Time's Abyss","Burroughs, Edgar Rice","Science Fiction","en"
"28",553,"moved and swung and soared the countless forms of Caspak's teeming","Out of Time's Abyss","Burroughs, Edgar Rice","Science Fiction","en"
