"","gutenberg_id","text","title","author","gutenberg_bookshelf","language"
"1",6714,"DAVE DASHAWAY AND HIS HYDROPLANE","Dave Dashaway and His Hydroplane; Or, Daring Adventures over the Great Lake","Rockwood, Roy","Science Fiction","en"
"2",6714,"","Dave Dashaway and His Hydroplane; Or, Daring Adventures over the Great Lake","Rockwood, Roy","Science Fiction","en"
"3",6714,"Or Daring Adventures Over The Great Lakes","Dave Dashaway and His Hydroplane; Or, Daring Adventures over the Great Lake","Rockwood, Roy","Science Fiction","en"
"4",6714,"","Dave Dashaway and His Hydroplane; Or, Daring Adventures over the Great Lake","Rockwood, Roy","Science Fiction","en"
"5",6714,"By Roy Rockwood","Dave Dashaway and His Hydroplane; Or, Daring Adventures over the Great Lake","Rockwood, Roy","Science Fiction","en"
"6",6714,"","Dave Dashaway and His Hydroplane; Or, Daring Adventures over the Great Lake","Rockwood, Roy","Science Fiction","en"
"7",6714,"","Dave Dashaway and His Hydroplane; Or, Daring Adventures over the Great Lake","Rockwood, Roy","Science Fiction","en"
"8",6714,"","Dave Dashaway and His Hydroplane; Or, Daring Adventures over the Great Lake","Rockwood, Roy","Science Fiction","en"
"9",6714,"","Dave Dashaway and His Hydroplane; Or, Daring Adventures over the Great Lake","Rockwood, Roy","Science Fiction","en"
"10",6714,"CHAPTER I","Dave Dashaway and His Hydroplane; Or, Daring Adventures over the Great Lake","Rockwood, Roy","Science Fiction","en"
"11",6714,"","Dave Dashaway and His Hydroplane; Or, Daring Adventures over the Great Lake","Rockwood, Roy","Science Fiction","en"
"12",6714,"THE YOUNG AVIATOR","Dave Dashaway and His Hydroplane; Or, Daring Adventures over the Great Lake","Rockwood, Roy","Science Fiction","en"
"13",6714,"","Dave Dashaway and His Hydroplane; Or, Daring Adventures over the Great Lake","Rockwood, Roy","Science Fiction","en"
"14",6714,"","Dave Dashaway and His Hydroplane; Or, Daring Adventures over the Great Lake","Rockwood, Roy","Science Fiction","en"
"15",6714,"""Telegram, sir.""","Dave Dashaway and His Hydroplane; Or, Daring Adventures over the Great Lake","Rockwood, Roy","Science Fiction","en"
"16",6714,"","Dave Dashaway and His Hydroplane; Or, Daring Adventures over the Great Lake","Rockwood, Roy","Science Fiction","en"
"17",6714,"""Who for?""","Dave Dashaway and His Hydroplane; Or, Daring Adventures over the Great Lake","Rockwood, Roy","Science Fiction","en"
"18",6714,"","Dave Dashaway and His Hydroplane; Or, Daring Adventures over the Great Lake","Rockwood, Roy","Science Fiction","en"
"19",6714,"""Dave Dashaway.""","Dave Dashaway and His Hydroplane; Or, Daring Adventures over the Great Lake","Rockwood, Roy","Science Fiction","en"
"20",6714,"","Dave Dashaway and His Hydroplane; Or, Daring Adventures over the Great Lake","Rockwood, Roy","Science Fiction","en"
"21",6714,"""I'll take it.""","Dave Dashaway and His Hydroplane; Or, Daring Adventures over the Great Lake","Rockwood, Roy","Science Fiction","en"
"22",6714,"","Dave Dashaway and His Hydroplane; Or, Daring Adventures over the Great Lake","Rockwood, Roy","Science Fiction","en"
"23",6714,"The messenger boy who had just entered the hangar of the great prize","Dave Dashaway and His Hydroplane; Or, Daring Adventures over the Great Lake","Rockwood, Roy","Science Fiction","en"
"24",6714,"monoplane of the aero meet at Columbus, stared wonderingly about him","Dave Dashaway and His Hydroplane; Or, Daring Adventures over the Great Lake","Rockwood, Roy","Science Fiction","en"
"25",6714,"while the man in charge of the place receipted for the telegram.","Dave Dashaway and His Hydroplane; Or, Daring Adventures over the Great Lake","Rockwood, Roy","Science Fiction","en"
"26",6714,"","Dave Dashaway and His Hydroplane; Or, Daring Adventures over the Great Lake","Rockwood, Roy","Science Fiction","en"
"27",6714,"The lad had never been in so queer a place before.  He was a lively,","Dave Dashaway and His Hydroplane; Or, Daring Adventures over the Great Lake","Rockwood, Roy","Science Fiction","en"
"28",6714,"active city boy, but the closest he had ever seen an airship was a","Dave Dashaway and His Hydroplane; Or, Daring Adventures over the Great Lake","Rockwood, Roy","Science Fiction","en"
"29",6714,"distance away and five hundred feet up in the air.  Now, with big","Dave Dashaway and His Hydroplane; Or, Daring Adventures over the Great Lake","Rockwood, Roy","Science Fiction","en"
"30",6714,"wonder eyes he stared at the strange appearing machine.  His fingers","Dave Dashaway and His Hydroplane; Or, Daring Adventures over the Great Lake","Rockwood, Roy","Science Fiction","en"
"31",6714,"moved restlessly, like a street-urchin surveying an automobile and","Dave Dashaway and His Hydroplane; Or, Daring Adventures over the Great Lake","Rockwood, Roy","Science Fiction","en"
"32",6714,"longing to blow its horn.","Dave Dashaway and His Hydroplane; Or, Daring Adventures over the Great Lake","Rockwood, Roy","Science Fiction","en"
"33",6714,"","Dave Dashaway and His Hydroplane; Or, Daring Adventures over the Great Lake","Rockwood, Roy","Science Fiction","en"
"34",6714,"The man in charge of the place attracted his attention, too.  He had","Dave Dashaway and His Hydroplane; Or, Daring Adventures over the Great Lake","Rockwood, Roy","Science Fiction","en"
"35",6714,"only one arm and limped when he walked.  His face was scarred and he","Dave Dashaway and His Hydroplane; Or, Daring Adventures over the Great Lake","Rockwood, Roy","Science Fiction","en"
"36",6714,"looked like a war veteran.  The only battles this old warrior had","Dave Dashaway and His Hydroplane; Or, Daring Adventures over the Great Lake","Rockwood, Roy","Science Fiction","en"
"37",6714,"been in, however, were fights with the elements.  He was a famous","Dave Dashaway and His Hydroplane; Or, Daring Adventures over the Great Lake","Rockwood, Roy","Science Fiction","en"
"38",6714,"""wind wagon"" man who had sustained a terrible fall in an endurance","Dave Dashaway and His Hydroplane; Or, Daring Adventures over the Great Lake","Rockwood, Roy","Science Fiction","en"
"39",6714,"race.  It had crippled him for life.  Now he followed the various","Dave Dashaway and His Hydroplane; Or, Daring Adventures over the Great Lake","Rockwood, Roy","Science Fiction","en"
"40",6714,"professional meets for a living, and also ran an aviation school for","Dave Dashaway and His Hydroplane; Or, Daring Adventures over the Great Lake","Rockwood, Roy","Science Fiction","en"
"41",6714,"amateurs.  His name was John Grimshaw.","Dave Dashaway and His Hydroplane; Or, Daring Adventures over the Great Lake","Rockwood, Roy","Science Fiction","en"
