"","id","title","author","genre","sentence","x","y","DET","NOUN","VERB","ADJ","PROPN","ADP","AUX","CONJ","INTJ","NUM","PRON","SCONJ"
"31","6717","Through Space to Mars; Or, the Longest Journey on Record","Rockwood, Roy","Science Fiction",31,0.102488804103398,0.179269836125497,1,1,2,2,0,0,3,0,0,0,2,1
"32","6717","Through Space to Mars; Or, the Longest Journey on Record","Rockwood, Roy","Science Fiction",32,0.235821330912889,0.0828973487885449,2,2,3,1,0,2,1,0,0,0,2,1
"33","6717","Through Space to Mars; Or, the Longest Journey on Record","Rockwood, Roy","Science Fiction",33,-0.302445300581105,0.508039133249461,0,0,1,0,0,0,1,0,0,1,2,0
"34","6717","Through Space to Mars; Or, the Longest Journey on Record","Rockwood, Roy","Science Fiction",34,0.0867286805745678,-0.0111506068665153,1,5,2,1,1,1,1,0,0,0,2,2
"35","6717","Through Space to Mars; Or, the Longest Journey on Record","Rockwood, Roy","Science Fiction",35,0.273306633058097,0.0487825282439005,6,7,2,1,0,3,2,0,0,0,1,0
"36","6717","Through Space to Mars; Or, the Longest Journey on Record","Rockwood, Roy","Science Fiction",36,0.152516524874674,-0.246076449859016,2,2,2,0,0,1,0,0,0,0,1,0
"37","6717","Through Space to Mars; Or, the Longest Journey on Record","Rockwood, Roy","Science Fiction",37,0.100891738659336,-0.0527570692999616,9,14,4,4,1,8,2,0,0,0,5,0
"38","6717","Through Space to Mars; Or, the Longest Journey on Record","Rockwood, Roy","Science Fiction",38,0.393725168075631,-0.0330878965268483,2,3,0,3,0,1,1,0,0,1,0,0
"39","6717","Through Space to Mars; Or, the Longest Journey on Record","Rockwood, Roy","Science Fiction",39,0.176172455351419,0.0234300423874118,2,4,3,2,0,3,2,0,0,1,3,0
"40","6717","Through Space to Mars; Or, the Longest Journey on Record","Rockwood, Roy","Science Fiction",40,0.100891738659336,-0.0527570692999616,1,3,2,4,1,3,3,0,0,0,2,0
"41","6717","Through Space to Mars; Or, the Longest Journey on Record","Rockwood, Roy","Science Fiction",41,0.277698246582222,-0.243124745939694,2,3,2,3,0,3,0,0,0,0,1,0
"42","6717","Through Space to Mars; Or, the Longest Journey on Record","Rockwood, Roy","Science Fiction",42,0.0337074578532612,-0.0640104347786336,3,9,8,2,2,4,3,0,0,1,2,0
"43","6717","Through Space to Mars; Or, the Longest Journey on Record","Rockwood, Roy","Science Fiction",43,0.0667001466572202,-0.237572704393013,2,3,4,1,2,2,0,0,0,0,2,1
"44","6717","Through Space to Mars; Or, the Longest Journey on Record","Rockwood, Roy","Science Fiction",44,-0.00700538012288804,-0.101012688470954,0,1,1,0,0,1,0,0,0,0,1,0
"45","6717","Through Space to Mars; Or, the Longest Journey on Record","Rockwood, Roy","Science Fiction",45,0.235821330912889,0.0828973487885449,1,5,4,3,0,3,6,0,0,0,7,2
"46","6717","Through Space to Mars; Or, the Longest Journey on Record","Rockwood, Roy","Science Fiction",46,0.0267068550160569,0.137606436783809,2,1,1,1,0,0,2,0,0,1,1,1
"47","6717","Through Space to Mars; Or, the Longest Journey on Record","Rockwood, Roy","Science Fiction",47,0.0337074578532612,-0.0640104347786336,6,5,6,4,2,6,2,0,0,2,5,0
"48","6717","Through Space to Mars; Or, the Longest Journey on Record","Rockwood, Roy","Science Fiction",48,0.0276791336575777,-0.0254392820406647,1,1,3,4,1,1,3,0,0,1,4,2
"49","6717","Through Space to Mars; Or, the Longest Journey on Record","Rockwood, Roy","Science Fiction",49,0.0343186606045756,0.111307200238488,2,1,3,3,0,0,1,0,0,1,2,0
