"","id","title","author","genre","sentence","x","y","DET","NOUN","VERB","ADJ","PROPN","ADP","AUX","CONJ","INTJ","NUM","PRON","SCONJ"
"1","3139","The Dove in the Eagle's Nest","Yonge, Charlotte M. (Charlotte Mary)","Historical Fiction",1,-0.0760798024107696,0.049370627421886,2,4,0,0,0,2,0,0,0,1,0,0
"2","3139","The Dove in the Eagle's Nest","Yonge, Charlotte M. (Charlotte Mary)","Historical Fiction",2,-0.303346235592563,0.0170950187238297,1,3,2,0,0,3,0,0,0,0,0,0
"3","3139","The Dove in the Eagle's Nest","Yonge, Charlotte M. (Charlotte Mary)","Historical Fiction",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","3139","The Dove in the Eagle's Nest","Yonge, Charlotte M. (Charlotte Mary)","Historical Fiction",4,0.895786283566782,1.07258839520758,0,0,0,1,2,0,0,0,0,0,0,0
"5","3139","The Dove in the Eagle's Nest","Yonge, Charlotte M. (Charlotte Mary)","Historical Fiction",5,-0.0206015397851515,-0.127389875263364,1,4,1,2,0,1,1,0,0,2,0,0
"6","3139","The Dove in the Eagle's Nest","Yonge, Charlotte M. (Charlotte Mary)","Historical Fiction",6,-0.466658832105617,0.240296912904043,0,1,0,0,0,0,0,0,0,2,0,0
"7","3139","The Dove in the Eagle's Nest","Yonge, Charlotte M. (Charlotte Mary)","Historical Fiction",7,-0.0915665440291443,0.0599746362510567,0,2,0,1,0,0,0,0,0,1,0,0
"8","3139","The Dove in the Eagle's Nest","Yonge, Charlotte M. (Charlotte Mary)","Historical Fiction",8,-0.466658832105617,0.240296912904043,0,1,0,0,0,0,0,0,0,2,0,0
"9","3139","The Dove in the Eagle's Nest","Yonge, Charlotte M. (Charlotte Mary)","Historical Fiction",9,0.129011570062925,0.908527735233053,0,0,1,0,2,0,0,0,0,9,0,0
"10","3139","The Dove in the Eagle's Nest","Yonge, Charlotte M. (Charlotte Mary)","Historical Fiction",10,-0.0915665440291443,0.0599746362510567,0,1,0,1,0,0,0,0,0,1,0,0
"11","3139","The Dove in the Eagle's Nest","Yonge, Charlotte M. (Charlotte Mary)","Historical Fiction",11,-0.372959912410493,0.13986824911454,0,0,1,0,0,0,0,0,0,1,0,0
"12","3139","The Dove in the Eagle's Nest","Yonge, Charlotte M. (Charlotte Mary)","Historical Fiction",12,-0.10847532224638,-0.158149561530381,3,4,5,5,0,3,1,0,0,0,2,0
"13","3139","The Dove in the Eagle's Nest","Yonge, Charlotte M. (Charlotte Mary)","Historical Fiction",13,0.256658572231511,0.0319566274469439,4,12,2,4,1,6,2,0,0,0,2,1
"14","3139","The Dove in the Eagle's Nest","Yonge, Charlotte M. (Charlotte Mary)","Historical Fiction",14,0.325004847479133,0.0558808278768459,8,9,5,2,1,8,3,0,0,1,0,1
"15","3139","The Dove in the Eagle's Nest","Yonge, Charlotte M. (Charlotte Mary)","Historical Fiction",15,0.355433834169888,0.03731349804762,9,11,5,6,1,7,1,0,0,0,0,1
"16","3139","The Dove in the Eagle's Nest","Yonge, Charlotte M. (Charlotte Mary)","Historical Fiction",16,0.256658572231511,0.0319566274469439,7,11,4,5,2,8,4,0,0,0,3,1
"17","3139","The Dove in the Eagle's Nest","Yonge, Charlotte M. (Charlotte Mary)","Historical Fiction",17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
