"","id","title","author","genre","sentence","x","y","DET","NOUN","VERB","ADJ","PROPN","ADP","AUX","CONJ","INTJ","NUM","PRON","SCONJ"
"1","903","The White Company","Doyle, Arthur Conan","Historical Fiction",1,0.347806414783082,0.370992675395209,1,4,0,2,1,1,0,0,0,0,0,0
"2","903","The White Company","Doyle, Arthur Conan","Historical Fiction",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","903","The White Company","Doyle, Arthur Conan","Historical Fiction",3,0.333979588700784,-0.254992896175003,2,2,1,1,0,1,0,0,0,0,0,0
"4","903","The White Company","Doyle, Arthur Conan","Historical Fiction",4,0.406032384266318,0.372170428393142,1,2,1,0,1,2,0,0,0,0,0,0
"5","903","The White Company","Doyle, Arthur Conan","Historical Fiction",5,0.406032384266318,0.372170428393142,1,3,1,0,2,1,0,0,0,0,0,0
"6","903","The White Company","Doyle, Arthur Conan","Historical Fiction",6,0.321213318980374,0.324609603937014,2,4,0,1,1,1,0,0,0,1,0,0
"7","903","The White Company","Doyle, Arthur Conan","Historical Fiction",7,0.359203018625471,0.264875992674137,2,2,2,1,1,1,0,0,0,0,0,0
"8","903","The White Company","Doyle, Arthur Conan","Historical Fiction",8,0.307480155997881,-0.294829833123054,0,4,1,0,0,0,0,0,0,0,1,0
"9","903","The White Company","Doyle, Arthur Conan","Historical Fiction",9,0.346617918609904,-0.182134809661617,2,3,1,0,0,1,0,0,0,1,0,0
"10","903","The White Company","Doyle, Arthur Conan","Historical Fiction",10,0.333966556419742,-0.170223145281213,1,2,0,0,0,0,0,0,0,1,0,0
"11","903","The White Company","Doyle, Arthur Conan","Historical Fiction",11,0.316183664513749,0.527640042763759,0,3,0,1,1,1,0,0,0,0,0,0
"12","903","The White Company","Doyle, Arthur Conan","Historical Fiction",12,-0.0979947026518117,-0.257169263879623,1,4,2,0,0,0,1,0,0,0,2,0
"13","903","The White Company","Doyle, Arthur Conan","Historical Fiction",13,0.36804284515999,0.344710629515609,2,2,1,2,1,0,0,0,0,0,0,0
"14","903","The White Company","Doyle, Arthur Conan","Historical Fiction",14,-0.0873684754575601,-0.239357150462207,0,2,2,1,0,1,1,0,0,0,1,0
"15","903","The White Company","Doyle, Arthur Conan","Historical Fiction",15,0.338723514387761,-0.285166822335447,2,3,1,1,0,0,0,0,0,0,0,0
"16","903","The White Company","Doyle, Arthur Conan","Historical Fiction",16,0.406032384266318,0.372170428393142,1,3,1,0,1,1,0,0,0,0,0,0
"17","903","The White Company","Doyle, Arthur Conan","Historical Fiction",17,0.333979588700784,-0.254992896175003,1,3,1,1,0,1,0,0,0,0,0,0
"18","903","The White Company","Doyle, Arthur Conan","Historical Fiction",18,0.308628379503575,-0.20959460853915,2,4,1,1,0,0,0,0,0,1,0,0
"19","903","The White Company","Doyle, Arthur Conan","Historical Fiction",19,0.333979588700784,-0.254992896175003,2,4,1,1,0,1,0,0,0,0,0,0
