"","id","title","author","genre","sentence","x","y","DET","NOUN","VERB","ADJ","PROPN","ADP","AUX","CONJ","INTJ","NUM","PRON","SCONJ"
"1","98","A Tale of Two Cities","Dickens, Charles","Historical Fiction",1,-0.0226734690312267,0.0497183488850138,41,142,13,13,1,16,3,0,0,7,4,0
"2","98","A Tale of Two Cities","Dickens, Charles","Historical Fiction",2,-0.230700500383324,-0.147652805698927,18,26,7,10,0,18,14,0,0,0,20,3
"3","98","A Tale of Two Cities","Dickens, Charles","Historical Fiction",3,-0.168924580669908,0.0489686302117189,10,10,0,4,2,8,2,0,0,0,2,0
"4","98","A Tale of Two Cities","Dickens, Charles","Historical Fiction",4,-0.230700500383324,-0.147652805698927,2,6,2,3,0,6,2,0,0,0,1,1
"5","98","A Tale of Two Cities","Dickens, Charles","Historical Fiction",5,0.0266570751142018,0.0303020609283234,1,2,0,0,1,1,1,0,0,5,2,0
"6","98","A Tale of Two Cities","Dickens, Charles","Historical Fiction",6,-0.25164346757826,-0.0995175061730597,1,2,2,1,1,3,1,0,0,0,0,1
"7","98","A Tale of Two Cities","Dickens, Charles","Historical Fiction",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","98","A Tale of Two Cities","Dickens, Charles","Historical Fiction",8,-0.105700967415248,-0.0824223706425118,4,7,8,2,3,6,1,0,0,1,2,1
"9","98","A Tale of Two Cities","Dickens, Charles","Historical Fiction",9,-0.141807935742165,0.0129237715426896,4,8,4,5,0,7,1,0,0,0,2,0
"10","98","A Tale of Two Cities","Dickens, Charles","Historical Fiction",10,-0.0221180062650056,0.31835366249246,8,11,8,7,2,9,0,0,0,0,1,0
"11","98","A Tale of Two Cities","Dickens, Charles","Historical Fiction",11,-0.0221180062650056,0.31835366249246,2,6,5,3,2,6,0,0,0,0,2,0
"12","98","A Tale of Two Cities","Dickens, Charles","Historical Fiction",12,-0.105700967415248,-0.0824223706425118,6,16,7,5,1,14,1,0,0,2,9,1
"13","98","A Tale of Two Cities","Dickens, Charles","Historical Fiction",13,-0.155798612609661,-0.0948273835921934,5,10,8,5,2,8,4,0,0,0,3,2
"14","98","A Tale of Two Cities","Dickens, Charles","Historical Fiction",14,-0.155798612609661,-0.0948273835921934,6,12,6,7,2,10,3,0,0,0,4,2
"15","98","A Tale of Two Cities","Dickens, Charles","Historical Fiction",15,-0.105700967415248,-0.0824223706425118,3,4,5,4,1,4,3,0,0,1,4,4
"16","98","A Tale of Two Cities","Dickens, Charles","Historical Fiction",16,-0.0686548825769384,0.0522802992575628,1,3,2,1,1,2,1,0,0,0,1,0
"17","98","A Tale of Two Cities","Dickens, Charles","Historical Fiction",17,-0.105700967415248,-0.0824223706425118,19,50,25,11,7,36,6,0,0,4,14,1
"18","98","A Tale of Two Cities","Dickens, Charles","Historical Fiction",18,-0.0221180062650056,0.31835366249246,7,9,3,1,1,6,0,0,0,0,1,0
"19","98","A Tale of Two Cities","Dickens, Charles","Historical Fiction",19,-0.0686548825769384,0.0522802992575628,10,20,12,7,2,16,2,0,0,0,3,0
"20","98","A Tale of Two Cities","Dickens, Charles","Historical Fiction",20,-0.0361520991571742,0.275703198584309,4,3,2,3,0,3,0,0,0,6,1,0
"21","98","A Tale of Two Cities","Dickens, Charles","Historical Fiction",21,-0.0736218508213346,0.109556615217955,8,6,5,7,1,5,0,0,0,2,2,1
"22","98","A Tale of Two Cities","Dickens, Charles","Historical Fiction",22,-0.166714018192458,-0.127999966631866,5,9,2,1,0,4,1,0,0,5,2,2
"23","98","A Tale of Two Cities","Dickens, Charles","Historical Fiction",23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24","98","A Tale of Two Cities","Dickens, Charles","Historical Fiction",24,-0.155798612609661,-0.0948273835921934,6,7,1,2,2,4,2,0,0,0,2,2
"25","98","A Tale of Two Cities","Dickens, Charles","Historical Fiction",25,0.0851302435439237,0.34816218265943,2,5,2,0,0,4,0,0,0,0,2,0
"26","98","A Tale of Two Cities","Dickens, Charles","Historical Fiction",26,-0.105700967415248,-0.0824223706425118,17,15,9,2,1,12,2,0,0,1,3,3
"27","98","A Tale of Two Cities","Dickens, Charles","Historical Fiction",27,-0.0472867202915802,-0.126666897902266,4,14,7,0,1,5,1,0,0,0,2,2
"28","98","A Tale of Two Cities","Dickens, Charles","Historical Fiction",28,-0.230700500383324,-0.147652805698927,2,7,5,3,0,5,1,0,0,0,3,1
"29","98","A Tale of Two Cities","Dickens, Charles","Historical Fiction",29,-0.230700500383324,-0.147652805698927,7,7,6,2,0,7,3,0,0,0,5,1
"30","98","A Tale of Two Cities","Dickens, Charles","Historical Fiction",30,-0.267269296222382,0.0246288006240151,4,5,3,1,0,2,2,0,0,0,0,0
"31","98","A Tale of Two Cities","Dickens, Charles","Historical Fiction",31,0.0052063668265251,-0.0115703883482607,5,7,5,0,0,4,1,0,0,0,3,0
"32","98","A Tale of Two Cities","Dickens, Charles","Historical Fiction",32,-0.105700967415248,-0.0824223706425118,5,7,2,3,1,4,2,0,0,1,2,1
"33","98","A Tale of Two Cities","Dickens, Charles","Historical Fiction",33,-0.155798612609661,-0.0948273835921934,7,7,5,4,1,7,1,0,0,0,6,1
"34","98","A Tale of Two Cities","Dickens, Charles","Historical Fiction",34,-0.179776848285689,0.0252850785212447,4,3,1,1,0,4,1,0,0,2,0,0
"35","98","A Tale of Two Cities","Dickens, Charles","Historical Fiction",35,0.0298389003905897,0.0492689731459995,3,2,2,0,2,1,1,0,0,1,0,0
"36","98","A Tale of Two Cities","Dickens, Charles","Historical Fiction",36,-0.0809347138575859,0.0149611433379312,7,6,3,3,0,12,3,0,0,4,4,0
"37","98","A Tale of Two Cities","Dickens, Charles","Historical Fiction",37,-0.0686548825769384,0.0522802992575628,4,5,1,3,1,7,4,0,0,0,1,0
"38","98","A Tale of Two Cities","Dickens, Charles","Historical Fiction",38,-0.0686548825769384,0.0522802992575628,7,6,5,4,1,4,2,0,0,0,2,0
