"","id","title","author","genre","sentence","x","y","DET","NOUN","VERB","ADJ","PROPN","ADP","AUX","CONJ","INTJ","NUM","PRON","SCONJ"
"1","4439","Vittoria — Volume 5","Meredith, George","Historical Fiction",1,-0.389868388753612,-0.363832258647673,0,3,1,0,1,1,0,0,0,1,0,0
"2","4439","Vittoria — Volume 5","Meredith, George","Historical Fiction",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","4439","Vittoria — Volume 5","Meredith, George","Historical Fiction",3,0.0593131743151555,-0.313970388372027,2,2,1,0,0,1,0,0,0,0,0,0
"4","4439","Vittoria — Volume 5","Meredith, George","Historical Fiction",4,0.621189278472672,-0.29321952401894,1,2,0,1,0,0,0,0,0,0,0,0
"5","4439","Vittoria — Volume 5","Meredith, George","Historical Fiction",5,0.156600075450779,-0.201616042789603,3,4,3,1,2,2,1,0,0,0,0,0
"6","4439","Vittoria — Volume 5","Meredith, George","Historical Fiction",6,0.114302112669463,-0.0419096874572816,11,12,11,3,6,12,2,0,0,2,5,2
"7","4439","Vittoria — Volume 5","Meredith, George","Historical Fiction",7,-0.0157398646136861,-0.0443283832588372,7,11,10,0,3,12,5,0,0,0,4,1
"8","4439","Vittoria — Volume 5","Meredith, George","Historical Fiction",8,0.143372959465797,-0.0609408032886139,10,13,9,5,2,7,1,0,0,0,6,1
"9","4439","Vittoria — Volume 5","Meredith, George","Historical Fiction",9,0.56859743464183,-0.0786576040267625,2,3,0,1,0,1,1,0,0,0,0,0
"10","4439","Vittoria — Volume 5","Meredith, George","Historical Fiction",10,0.0991329641217167,-0.0445820858292353,5,7,5,1,1,4,1,0,2,0,5,1
"11","4439","Vittoria — Volume 5","Meredith, George","Historical Fiction",11,0.0527352081162535,-0.124975721300749,2,4,4,3,2,3,2,0,0,0,7,0
"12","4439","Vittoria — Volume 5","Meredith, George","Historical Fiction",12,0.163201564356144,-0.17303586464895,3,7,3,3,0,2,0,0,0,0,1,0
"13","4439","Vittoria — Volume 5","Meredith, George","Historical Fiction",13,0.143372959465797,-0.0609408032886139,9,17,8,9,5,16,4,0,0,0,5,3
"14","4439","Vittoria — Volume 5","Meredith, George","Historical Fiction",14,-0.012420067527982,-0.357261568949984,7,9,2,3,1,8,0,0,0,0,2,0
"15","4439","Vittoria — Volume 5","Meredith, George","Historical Fiction",15,-0.0906772935050558,-0.265093182616371,2,7,5,0,3,5,0,0,0,0,5,1
"16","4439","Vittoria — Volume 5","Meredith, George","Historical Fiction",16,0.143372959465797,-0.0609408032886139,6,6,3,2,2,7,3,0,0,0,2,1
"17","4439","Vittoria — Volume 5","Meredith, George","Historical Fiction",17,-0.25307441739157,0.347895969185926,0,4,3,0,0,0,0,0,0,0,2,1
"18","4439","Vittoria — Volume 5","Meredith, George","Historical Fiction",18,-0.352543859915798,-0.0186023310964136,0,2,1,0,0,1,0,0,0,0,1,0
"19","4439","Vittoria — Volume 5","Meredith, George","Historical Fiction",19,-0.012420067527982,-0.357261568949984,4,8,4,2,2,7,0,0,0,0,2,0
