"","id","title","author","genre","sentence","x","y","DET","NOUN","VERB","ADJ","PROPN","ADP","AUX","CONJ","INTJ","NUM","PRON","SCONJ"
"1","965","The Black Tulip","Dumas, Alexandre","Historical Fiction",1,-0.134352161516645,-0.356541388327946,1,3,0,1,1,1,0,0,0,1,0,0
"2","965","The Black Tulip","Dumas, Alexandre","Historical Fiction",2,-0.102191665857691,-0.104160150749757,18,28,15,12,11,26,7,0,0,3,15,1
"3","965","The Black Tulip","Dumas, Alexandre","Historical Fiction",3,-0.186906323776621,0.142608843121925,11,19,8,9,0,17,8,0,0,1,16,5
"4","965","The Black Tulip","Dumas, Alexandre","Historical Fiction",4,-0.102191665857691,-0.104160150749757,10,17,8,6,17,16,3,0,0,1,3,1
"5","965","The Black Tulip","Dumas, Alexandre","Historical Fiction",5,-0.102191665857691,-0.104160150749757,16,20,9,7,7,15,1,0,0,1,3,2
"6","965","The Black Tulip","Dumas, Alexandre","Historical Fiction",6,0.374119940646267,-0.380743986877591,1,2,1,0,3,0,0,0,0,0,0,0
"7","965","The Black Tulip","Dumas, Alexandre","Historical Fiction",7,-0.102191665857691,-0.104160150749757,6,10,7,4,2,8,2,0,0,1,3,1
"8","965","The Black Tulip","Dumas, Alexandre","Historical Fiction",8,0.628768043431542,-1.03545947171818,0,1,0,0,1,0,0,0,0,0,0,0
"9","965","The Black Tulip","Dumas, Alexandre","Historical Fiction",9,-0.261561030029469,0.123480343165989,3,7,5,2,0,3,3,0,0,0,6,2
"10","965","The Black Tulip","Dumas, Alexandre","Historical Fiction",10,0.0362505645818387,-0.220193392015003,2,2,1,1,1,3,0,0,0,0,2,0
"11","965","The Black Tulip","Dumas, Alexandre","Historical Fiction",11,-0.15913866498034,-0.148582038918554,6,8,7,5,2,7,3,0,0,0,3,1
"12","965","The Black Tulip","Dumas, Alexandre","Historical Fiction",12,0.0362505645818387,-0.220193392015003,2,4,1,3,1,2,0,0,0,0,1,0
"13","965","The Black Tulip","Dumas, Alexandre","Historical Fiction",13,-0.253525442024727,-0.195690985532341,3,4,1,2,3,4,1,0,0,0,0,1
"14","965","The Black Tulip","Dumas, Alexandre","Historical Fiction",14,0.291250351517567,-0.49023661391376,0,3,0,0,2,2,0,0,0,0,2,0
"15","965","The Black Tulip","Dumas, Alexandre","Historical Fiction",15,-0.0141249883774396,-1.22169907090266,0,0,0,0,1,1,0,0,0,0,0,0
"16","965","The Black Tulip","Dumas, Alexandre","Historical Fiction",16,-0.198030689232192,0.057483937200242,3,3,5,1,0,3,0,0,0,0,3,1
"17","965","The Black Tulip","Dumas, Alexandre","Historical Fiction",17,-0.362104440020493,0.128547991758906,1,3,0,1,0,2,1,0,0,3,0,0
"18","965","The Black Tulip","Dumas, Alexandre","Historical Fiction",18,-0.0565649329421917,-0.11948731989735,2,4,3,1,2,3,1,0,0,0,4,0
"19","965","The Black Tulip","Dumas, Alexandre","Historical Fiction",19,-0.186906323776621,0.142608843121925,4,5,5,6,0,3,2,0,0,1,4,1
"20","965","The Black Tulip","Dumas, Alexandre","Historical Fiction",20,0.233990846965376,-0.235500576621507,6,12,5,0,2,7,0,0,0,0,1,0
"21","965","The Black Tulip","Dumas, Alexandre","Historical Fiction",21,-0.0565649329421917,-0.11948731989735,5,9,4,4,1,10,1,0,0,0,1,0
"22","965","The Black Tulip","Dumas, Alexandre","Historical Fiction",22,-0.15913866498034,-0.148582038918554,7,8,7,4,5,7,3,0,0,0,6,1
"23","965","The Black Tulip","Dumas, Alexandre","Historical Fiction",23,-0.0878035490880077,0.208102422398188,2,5,3,1,0,3,1,0,0,1,3,0
"24","965","The Black Tulip","Dumas, Alexandre","Historical Fiction",24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25","965","The Black Tulip","Dumas, Alexandre","Historical Fiction",25,0.271941389395942,0.191588447425605,0,3,2,0,0,0,0,0,0,0,1,1
"26","965","The Black Tulip","Dumas, Alexandre","Historical Fiction",26,-0.261561030029469,0.123480343165989,2,3,2,1,0,3,1,0,0,0,3,2
"27","965","The Black Tulip","Dumas, Alexandre","Historical Fiction",27,0.0362505645818387,-0.220193392015003,2,5,1,2,2,3,0,0,0,0,2,0
"28","965","The Black Tulip","Dumas, Alexandre","Historical Fiction",28,-0.261561030029469,0.123480343165989,2,3,1,2,0,2,2,0,0,0,3,1
"29","965","The Black Tulip","Dumas, Alexandre","Historical Fiction",29,0.0369373187512051,0.170947025468527,4,3,2,0,0,2,0,0,0,0,0,0
"30","965","The Black Tulip","Dumas, Alexandre","Historical Fiction",30,-0.004687570810153,-0.0733624129343765,5,8,4,2,1,4,2,0,0,1,5,0
"31","965","The Black Tulip","Dumas, Alexandre","Historical Fiction",31,-0.186906323776621,0.142608843121925,7,13,5,6,0,7,4,0,0,1,2,2
"32","965","The Black Tulip","Dumas, Alexandre","Historical Fiction",32,-0.15913866498034,-0.148582038918554,5,11,5,3,1,6,2,0,0,0,7,1
"33","965","The Black Tulip","Dumas, Alexandre","Historical Fiction",33,0.0639661052879031,0.256167094794498,4,7,3,0,0,3,3,0,0,1,3,0
"34","965","The Black Tulip","Dumas, Alexandre","Historical Fiction",34,-0.15913866498034,-0.148582038918554,11,13,18,4,6,12,3,0,0,0,10,2
"35","965","The Black Tulip","Dumas, Alexandre","Historical Fiction",35,-0.284785878387494,0.190148833737392,3,5,1,1,0,1,1,0,0,0,0,0
"36","965","The Black Tulip","Dumas, Alexandre","Historical Fiction",36,-0.004687570810153,-0.0733624129343765,8,13,6,5,9,14,1,0,0,2,4,0
"37","965","The Black Tulip","Dumas, Alexandre","Historical Fiction",37,-0.149782144987469,-0.169169727595792,2,2,1,2,1,2,1,0,0,0,0,0
"38","965","The Black Tulip","Dumas, Alexandre","Historical Fiction",38,-0.261561030029469,0.123480343165989,8,20,8,4,0,8,3,0,0,0,7,2
"39","965","The Black Tulip","Dumas, Alexandre","Historical Fiction",39,-0.0565649329421917,-0.11948731989735,9,9,6,1,2,7,2,0,0,0,1,0
"40","965","The Black Tulip","Dumas, Alexandre","Historical Fiction",40,-0.0565649329421917,-0.11948731989735,6,6,3,3,3,3,3,0,0,0,4,0
"41","965","The Black Tulip","Dumas, Alexandre","Historical Fiction",41,0.0362505645818387,-0.220193392015003,4,5,4,1,1,3,0,0,0,0,2,0
"42","965","The Black Tulip","Dumas, Alexandre","Historical Fiction",42,0.148740965275914,0.18241552717317,1,1,3,0,0,4,0,0,0,0,3,0
"43","965","The Black Tulip","Dumas, Alexandre","Historical Fiction",43,0.0362505645818387,-0.220193392015003,2,4,4,2,3,4,0,0,0,0,2,0
"44","965","The Black Tulip","Dumas, Alexandre","Historical Fiction",44,-0.0565649329421917,-0.11948731989735,7,14,9,9,1,13,1,0,0,0,7,0
"45","965","The Black Tulip","Dumas, Alexandre","Historical Fiction",45,-0.004687570810153,-0.0733624129343765,9,9,7,1,1,12,3,0,0,1,5,0
"46","965","The Black Tulip","Dumas, Alexandre","Historical Fiction",46,-0.004687570810153,-0.0733624129343765,10,15,8,2,4,12,2,0,0,1,5,0
"47","965","The Black Tulip","Dumas, Alexandre","Historical Fiction",47,-0.261561030029469,0.123480343165989,8,8,8,3,0,6,3,0,0,0,8,1
"48","965","The Black Tulip","Dumas, Alexandre","Historical Fiction",48,-0.27034067893444,0.164247908098019,0,2,0,2,0,1,1,0,0,0,1,0
"49","965","The Black Tulip","Dumas, Alexandre","Historical Fiction",49,-0.261561030029469,0.123480343165989,5,5,4,2,0,5,2,0,0,0,3,1
"50","965","The Black Tulip","Dumas, Alexandre","Historical Fiction",50,-0.15913866498034,-0.148582038918554,28,34,27,11,15,28,12,0,0,0,16,3
"51","965","The Black Tulip","Dumas, Alexandre","Historical Fiction",51,-0.0565649329421917,-0.11948731989735,5,5,3,2,1,4,4,0,0,0,1,0
"52","965","The Black Tulip","Dumas, Alexandre","Historical Fiction",52,-0.004687570810153,-0.0733624129343765,5,12,2,5,1,9,2,0,0,1,1,0
"53","965","The Black Tulip","Dumas, Alexandre","Historical Fiction",53,-0.0565649329421917,-0.11948731989735,10,12,7,5,5,6,1,0,0,0,7,0
"54","965","The Black Tulip","Dumas, Alexandre","Historical Fiction",54,-0.0907468211515825,-0.24033669189915,4,8,2,2,3,6,0,0,0,0,1,1
"55","965","The Black Tulip","Dumas, Alexandre","Historical Fiction",55,0.0362505645818387,-0.220193392015003,4,4,6,4,1,4,0,0,0,0,2,0
"56","965","The Black Tulip","Dumas, Alexandre","Historical Fiction",56,-0.158965674135745,0.195597505202299,4,4,5,1,0,5,4,0,0,0,4,0
"57","965","The Black Tulip","Dumas, Alexandre","Historical Fiction",57,0.340305165814724,0.433287191429205,0,1,1,0,0,0,1,0,0,0,1,0
"58","965","The Black Tulip","Dumas, Alexandre","Historical Fiction",58,-0.0570335998836464,-0.29494054634946,1,3,1,1,2,2,0,0,0,0,0,0
"59","965","The Black Tulip","Dumas, Alexandre","Historical Fiction",59,-0.15913866498034,-0.148582038918554,4,6,5,1,1,5,2,0,0,0,5,1
